ticker,date,pos,neg,unc,manager_ratio,analyst_ratio,other_ratio,net_sentiment,volume,stock_return,sp500_return,sp500_close,lag_stock_return,lag_sp500_return,stock_volatility
CMCSA,2019-09-18 17:35:06,0.0282,0.0239,0.0099,0.5,0.5,0.0,0.004299999999999998,13156315.0,0.005785,0.000343,3006.73,0.008645,0.002582,0.008962968806892816
CMCSA,2019-10-24 17:44:06,0.0295,0.0193,0.0077,0.375,0.4375,0.1875,0.010199999999999997,19145018.0,-0.019248,0.00192,3010.29,-0.001092,0.002847,0.012257368509050667
CMCSA,2019-12-09 20:00:07,0.047,0.0097,0.0097,0.5,0.0,0.5,0.0373,21597671.0,-0.007911,-0.003163,3135.96,0.004541,0.009136,0.014327022831387946
CMCSA,2020-01-23 17:05:23,0.036,0.0298,0.0062,0.3846153846153846,0.5384615384615384,0.0769230769230769,0.006199999999999997,37653014.0,-0.037732,0.001141,3325.54,0.00296,0.000289,0.01604956229967383
CMCSA,2020-05-01 00:41:46,0.0382,0.0368,0.0164,0.5,0.4166666666666667,0.0833333333333333,0.0013999999999999985,19891108.0,-0.017273,-0.028059,2830.71,-0.035128,-0.009212,0.02578744401965165
CMCSA,2020-07-30 20:45:14,0.0702,0.0102,0.0064,0.5,0.4166666666666667,0.0833333333333333,0.06,17582339.0,-0.005239,-0.00375,3246.22,0.015969,0.012428,0.010010336172066285
CMCSA,2020-10-29 18:23:05,0.0619,0.006,0.0095,0.5,0.4166666666666667,0.0833333333333333,0.0559,20276696.0,0.025727,0.011947,3310.11,-0.03361,-0.035288,0.019741839795216685
CMCSA,2021-01-28 19:32:06,0.0615,0.0118,0.0059,0.4615384615384615,0.4615384615384615,0.0769230769230769,0.0497,29041998.0,0.065675,0.009761,3787.38,-0.03334,-0.025678,0.02679284868621146
CRM,2005-11-24 06:56:51,0.0305,0.0073,0.0305,0.0,0.6153846153846154,0.3846153846153846,0.0232,1497400.0,0.033553,0.003473,1265.61,0.039316,0.005084,
CRM,2006-02-23 13:26:21,0.0294,0.0047,0.0247,0.4,0.4,0.2,0.0247,5011500.0,-0.011337,-0.003775,1287.79,0.023505,0.007513,0.039157765973189936
CRM,2006-05-18 03:50:18,0.0184,0.0123,0.0196,0.2142857142857142,0.3571428571428571,0.4285714285714285,0.0060999999999999995,4301200.0,-0.05005,-0.006699,1261.81,-0.01082,-0.016841,0.01709594831271761
CRM,2006-08-17 00:02:12,0.0369,0.0046,0.0207,0.2307692307692307,0.3846153846153846,0.3846153846153846,0.0323,13709200.0,0.189972,0.001582,1297.48,-0.010828,0.007662,0.0683791202354767
CRM,2006-11-16 03:47:52,0.0471,0.0109,0.0242,0.1764705882352941,0.6470588235294118,0.1764705882352941,0.0362,3096900.0,-0.009908,0.002284,1399.76,-0.025517,0.002405,0.02625920259938518
CRM,2007-02-22 02:29:07,0.0303,0.0058,0.0256,0.2142857142857142,0.6428571428571429,0.1428571428571428,0.0245,5213100.0,-0.017917,-0.000858,1456.38,-0.02893,-0.001404,0.017727737540989958
CRM,2007-05-17 02:38:49,0.0424,0.0103,0.0218,0.1,0.55,0.35,0.032100000000000004,4803325.0,-0.050166,-0.000918,1512.75,0.026776,0.008626,0.023848368999903495
CRM,2007-08-15 23:45:05,0.0352,0.0035,0.0211,0.1666666666666666,0.4166666666666667,0.4166666666666667,0.0317,3314841.0,-0.046771,-0.013908,1406.7,0.028401,-0.018157,0.040984843949521975
CRM,2007-11-16 01:17:21,0.018,0.0022,0.0225,0.1875,0.5625,0.25,0.015799999999999998,4540900.0,0.129159,0.00523,1458.74,-0.023269,-0.013212,0.04998624890340678
CRM,2008-02-28 03:05:10,0.0407,0.0058,0.0209,0.3076923076923077,0.3846153846153846,0.3076923076923077,0.0349,8904600.0,0.171798,-0.008942,1367.68,-0.002654,-0.000919,0.062338272023247855
